i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,L,3,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,3,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,3,2330.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,4,1788.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,5,1803.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,6,1488.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,7,1046.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,8,1168.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,10,676.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,13,191.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,14,188.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,15,494.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,16,466.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,17,544.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,18,526.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,19,492.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,20,431.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,21,267.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,22,134.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,23,144.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,24,155.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,25,159.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,26,156.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,27,159.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,28,116.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,29,21.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,30,14.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,31,1.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,3,2856.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,10,792.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,12,725.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,13,764.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,14,467.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,15,379.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,3,3685.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,3,11,0.0,-0.0,0.0,inf,1.0
