i,k,r,t,level,marginal,lower,upper,scale
Austria,food_clothing,H,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,H,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,3,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,4,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,5,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,6,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,7,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,8,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,9,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,10,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,11,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,12,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,13,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,14,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,15,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,16,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,17,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,18,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,19,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,20,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,21,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,22,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,23,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,24,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,25,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,26,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,27,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,28,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,29,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,30,0.0,-0.0,0.0,inf,1.0
Austria,housing,L,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,3,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,4,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,5,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,6,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,7,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,8,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,9,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,10,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,11,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,12,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,13,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,14,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,15,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,16,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,17,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,18,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,19,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,20,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,21,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,22,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,23,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,24,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,25,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,26,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,27,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,28,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,29,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,30,0.0,-0.0,0.0,inf,1.0
Austria,housing,M,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,H,0,0.0,-0.0,0.0,inf,1.0
