i,p,t,level,marginal,lower,upper,scale
Austria,nonfood_items_clothing,21,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,22,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,23,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,24,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,25,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,26,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,27,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,28,51.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,29,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,30,0.0,-0.0,0.0,inf,1.0
Austria,nonfood_items_clothing,31,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,0,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,1,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,2,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,3,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,4,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,5,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,6,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,7,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,8,6580.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,9,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,10,2881.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,11,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,12,2510.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,13,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,14,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,15,5823.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,16,3818.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,17,1931.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,18,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,19,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,20,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,21,4741.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,22,2189.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,23,968.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,24,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,25,2173.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,26,1113.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,27,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,28,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,29,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,30,0.0,-0.0,0.0,inf,1.0
Belgium,food_clothing,31,0.0,-0.0,0.0,inf,1.0
Belgium,housing,0,0.0,-0.0,0.0,inf,1.0
Belgium,housing,1,0.0,-0.0,0.0,inf,1.0
Belgium,housing,2,0.0,-0.0,0.0,inf,1.0
Belgium,housing,3,0.0,-0.0,0.0,inf,1.0
Belgium,housing,4,0.0,-0.0,0.0,inf,1.0
Belgium,housing,5,0.0,-0.0,0.0,inf,1.0
Belgium,housing,6,693.0,-0.0,0.0,inf,1.0
Belgium,housing,7,0.0,-0.0,0.0,inf,1.0
Belgium,housing,8,0.0,-0.0,0.0,inf,1.0
Belgium,housing,9,0.0,-0.0,0.0,inf,1.0
Belgium,housing,10,0.0,-0.0,0.0,inf,1.0
Belgium,housing,11,653.0,-0.0,0.0,inf,1.0
Belgium,housing,12,0.0,-0.0,0.0,inf,1.0
Belgium,housing,13,1477.0,-0.0,0.0,inf,1.0
Belgium,housing,14,0.0,-0.0,0.0,inf,1.0
Belgium,housing,15,0.0,-0.0,0.0,inf,1.0
Belgium,housing,16,0.0,-0.0,0.0,inf,1.0
Belgium,housing,17,0.0,-0.0,0.0,inf,1.0
Belgium,housing,18,0.0,-0.0,0.0,inf,1.0
Belgium,housing,19,0.0,-0.0,0.0,inf,1.0
Belgium,housing,20,0.0,-0.0,0.0,inf,1.0
Belgium,housing,21,0.0,-0.0,0.0,inf,1.0
Belgium,housing,22,0.0,-0.0,0.0,inf,1.0
Belgium,housing,23,0.0,-0.0,0.0,inf,1.0
Belgium,housing,24,220.0,-0.0,0.0,inf,1.0
Belgium,housing,25,0.0,-0.0,0.0,inf,1.0
Belgium,housing,26,0.0,-0.0,0.0,inf,1.0
Belgium,housing,27,510.0,-0.0,0.0,inf,1.0
Belgium,housing,28,0.0,-0.0,0.0,inf,1.0
Belgium,housing,29,0.0,-0.0,0.0,inf,1.0
Belgium,housing,30,3.0,-0.0,0.0,inf,1.0
Belgium,housing,31,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,0,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,1,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,2,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,3,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,4,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,5,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,6,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,7,15884.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,8,14794.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,9,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,10,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,11,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,12,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,13,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,14,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,15,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,16,941.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,17,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,18,49216.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,19,48532.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,20,724.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,21,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,22,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,23,484.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,24,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,25,526.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,26,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,27,2859.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,28,143.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,29,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,30,0.0,-0.0,0.0,inf,1.0
Belgium,nonfood_items_clothing,31,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,0,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,1,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,2,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,3,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,4,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,5,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,6,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,7,4497.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,8,2278.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,9,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,10,2317.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,11,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,12,5777.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,13,3362.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,14,1572.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,15,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,16,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,17,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,18,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,19,958.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,20,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,21,1111.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,22,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,23,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,24,994.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,25,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,26,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,27,0.0,-0.0,0.0,inf,1.0
Denmark,food_clothing,28,306.0,-0.0,0.0,inf,1.0
