i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,M,1,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,1,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,2,3685.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,3,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,M,2,28,0.0,-0.0,0.0,inf,1.0
