i,j,s,t,level,marginal,lower,upper,scale
Austria,Denmark,info_legal,26,0.0,200.0,0.0,inf,1.0
Austria,Denmark,info_legal,27,0.0,200.0,0.0,inf,1.0
Austria,Denmark,info_legal,28,0.0,200.0,0.0,inf,1.0
Austria,Denmark,info_legal,29,0.0,200.0,0.0,inf,1.0
Austria,Denmark,info_legal,30,0.0,200.0,0.0,inf,1.0
Austria,Denmark,info_legal,31,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,0,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,1,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,2,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,3,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,4,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,5,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,6,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,7,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,8,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,9,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,10,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,11,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,12,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,13,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,14,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,15,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,16,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,17,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,18,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,19,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,20,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,21,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,22,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,23,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,24,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,25,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,26,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,27,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,28,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,29,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,30,0.0,200.0,0.0,inf,1.0
Austria,Denmark,medical,31,0.0,200.0,0.0,inf,1.0
Austria,France,info_legal,0,0.0,200.0,0.0,inf,1.0
Austria,France,info_legal,1,0.0,200.0,0.0,inf,1.0
Austria,France,info_legal,2,0.0,200.0,0.0,inf,1.0
Austria,France,info_legal,3,0.0,200.0,0.0,inf,1.0
Austria,France,info_legal,4,0.0,200.0,0.0,inf,1.0
