i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,L,3,5,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,6,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,7,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,8,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,9,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,10,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,11,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,12,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,13,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,14,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,15,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,16,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,17,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,18,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,19,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,20,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,21,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,22,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,23,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,24,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,25,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,26,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,27,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,28,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,29,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,30,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,L,3,31,0.0,1000.0,0.0,inf,1.0
Austria,food_clothing,M,1,0,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,1,3685.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,2,2856.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,3,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,4,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,5,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,6,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,7,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,8,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,9,792.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,10,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,11,725.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,12,764.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,13,467.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,14,379.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,15,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,16,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,17,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,18,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,19,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,20,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,21,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,22,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,23,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,24,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,25,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,26,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,27,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,28,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,29,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,30,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,1,31,0.0,300.0,0.0,inf,1.0
Austria,food_clothing,M,2,0,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,1,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,2,3685.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,3,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,4,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,5,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,6,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,7,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,8,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,9,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,10,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,11,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,12,0.0,800.0,0.0,inf,1.0
Austria,food_clothing,M,2,13,0.0,800.0,0.0,inf,1.0
