i,s,r,a,t,level,marginal,lower,upper,scale
Austria,info_legal,L,1,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,2,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,3,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,4,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,5,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,6,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,7,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,8,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,9,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,10,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,11,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,12,101.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,13,113.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,14,80.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,15,82.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,16,92.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,17,97.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,18,108.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,19,89.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,20,88.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,21,64.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,22,39.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,23,48.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,24,42.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,25,44.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,26,36.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,27,41.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,28,34.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,29,13.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,30,4.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,31,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,2,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,3,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,4,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,5,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,6,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,7,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,8,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,9,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,10,74.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,11,118.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,12,121.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,14,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,15,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,16,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,17,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,18,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,19,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,20,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,21,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,22,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,23,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,24,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,25,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,26,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,27,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,28,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,29,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,30,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,31,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,2,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,3,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,4,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,5,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,6,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,7,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,8,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,9,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,10,169.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,11,67.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,12,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,14,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,15,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,16,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,17,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,18,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,19,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,20,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,21,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,22,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,23,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,24,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,25,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,26,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,27,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,28,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,29,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,30,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,3,31,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,2,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,3,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,4,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,5,29.0,-0.0,0.0,inf,1.0
Austria,info_legal,M,1,6,155.0,-0.0,0.0,inf,1.0
