i,s,t,level,marginal,lower,upper,scale
Belgium,medical,5,6.0,1200.0,0.0,inf,1.0
Belgium,medical,6,6.0,1200.0,0.0,inf,1.0
Belgium,medical,7,6.0,1200.0,0.0,inf,1.0
Belgium,medical,8,6.0,1200.0,0.0,inf,1.0
Belgium,medical,9,6.0,1200.0,0.0,inf,1.0
Belgium,medical,10,6.0,1200.0,0.0,inf,1.0
Belgium,medical,11,6.0,1200.0,0.0,inf,1.0
Belgium,medical,12,6.0,1200.0,0.0,inf,1.0
Belgium,medical,13,6.0,1200.0,0.0,inf,1.0
Belgium,medical,14,6.0,1200.0,0.0,inf,1.0
Belgium,medical,15,6.0,1200.0,0.0,inf,1.0
Belgium,medical,16,6.0,1200.0,0.0,inf,1.0
Belgium,medical,17,6.0,1200.0,0.0,inf,1.0
Belgium,medical,18,6.0,1200.0,0.0,inf,1.0
Belgium,medical,19,6.0,1200.0,0.0,inf,1.0
Belgium,medical,20,6.0,1200.0,0.0,inf,1.0
Belgium,medical,21,6.0,1200.0,0.0,inf,1.0
Belgium,medical,22,6.0,1200.0,0.0,inf,1.0
Belgium,medical,23,6.0,1200.0,0.0,inf,1.0
Belgium,medical,24,6.0,1200.0,0.0,inf,1.0
Belgium,medical,25,6.0,1200.0,0.0,inf,1.0
Belgium,medical,26,6.0,1200.0,0.0,inf,1.0
Belgium,medical,27,6.0,1200.0,0.0,inf,1.0
Belgium,medical,28,6.0,1200.0,0.0,inf,1.0
Belgium,medical,29,6.0,1200.0,0.0,inf,1.0
Belgium,medical,30,6.0,1200.0,0.0,inf,1.0
Belgium,medical,31,6.0,1200.0,0.0,inf,1.0
Denmark,info_legal,0,0.0,1000.0,0.0,inf,1.0
Denmark,info_legal,1,0.0,1000.0,0.0,inf,1.0
Denmark,info_legal,2,0.0,1000.0,0.0,inf,1.0
Denmark,info_legal,3,0.0,1000.0,0.0,inf,1.0
Denmark,info_legal,4,0.0,1000.0,0.0,inf,1.0
Denmark,info_legal,5,0.0,1000.0,0.0,inf,1.0
Denmark,info_legal,6,0.0,1000.0,0.0,inf,1.0
Denmark,info_legal,7,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,8,4.999999999999819,1000.0,0.0,inf,1.0
Denmark,info_legal,9,5.0,1000.0,0.0,inf,1.0
Denmark,info_legal,10,6.0,1000.0,0.0,inf,1.0
Denmark,info_legal,11,5.0,1000.0,0.0,inf,1.0
Denmark,info_legal,12,6.0000000000022204,1000.0,0.0,inf,1.0
Denmark,info_legal,13,7.0,1000.0,0.0,inf,1.0
Denmark,info_legal,14,6.0,1000.0,0.0,inf,1.0
Denmark,info_legal,15,6.0,1000.0,0.0,inf,1.0
Denmark,info_legal,16,6.0,1000.0,0.0,inf,1.0
Denmark,info_legal,17,6.0,1000.0,0.0,inf,1.0
Denmark,info_legal,18,6.0,1000.0,0.0,inf,1.0
Denmark,info_legal,19,6.0,1000.0,0.0,inf,1.0
Denmark,info_legal,20,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,21,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,22,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,23,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,24,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,25,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,26,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,27,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,28,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,29,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,30,4.0,1000.0,0.0,inf,1.0
Denmark,info_legal,31,4.0,1000.0,0.0,inf,1.0
Denmark,medical,0,0.0,1200.0,0.0,inf,1.0
Denmark,medical,1,0.0,1200.0,0.0,inf,1.0
Denmark,medical,2,0.0,1200.0,0.0,inf,1.0
Denmark,medical,3,0.0,1200.0,0.0,inf,1.0
Denmark,medical,4,0.0,1200.0,0.0,inf,1.0
Denmark,medical,5,0.0,1200.0,0.0,inf,1.0
Denmark,medical,6,0.0,1200.0,0.0,inf,1.0
Denmark,medical,7,3.0,1200.0,0.0,inf,1.0
Denmark,medical,8,3.0,1200.0,0.0,inf,1.0
Denmark,medical,9,3.0,1200.0,0.0,inf,1.0
Denmark,medical,10,3.0,1200.0,0.0,inf,1.0
Denmark,medical,11,3.0,1200.0,0.0,inf,1.0
Denmark,medical,12,3.0,1200.0,0.0,inf,1.0
Denmark,medical,13,4.0,1200.0,0.0,inf,1.0
Denmark,medical,14,3.0,1200.0,0.0,inf,1.0
Denmark,medical,15,3.0,1200.0,0.0,inf,1.0
Denmark,medical,16,3.0,1200.0,0.0,inf,1.0
Denmark,medical,17,3.0,1200.0,0.0,inf,1.0
Denmark,medical,18,3.0,1200.0,0.0,inf,1.0
Denmark,medical,19,3.0,1200.0,0.0,inf,1.0
Denmark,medical,20,3.0,1200.0,0.0,inf,1.0
Denmark,medical,21,3.0,1200.0,0.0,inf,1.0
Denmark,medical,22,3.0,1200.0,0.0,inf,1.0
Denmark,medical,23,3.0,1200.0,0.0,inf,1.0
Denmark,medical,24,3.0,1200.0,0.0,inf,1.0
Denmark,medical,25,3.0,1200.0,0.0,inf,1.0
Denmark,medical,26,3.0,1200.0,0.0,inf,1.0
Denmark,medical,27,3.0,1200.0,0.0,inf,1.0
Denmark,medical,28,3.0,1200.0,0.0,inf,1.0
Denmark,medical,29,3.0,1200.0,0.0,inf,1.0
