i,s,t,level,marginal,lower,upper,scale
Poland,info_legal,4,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,5,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,6,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,7,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,8,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,9,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,10,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,11,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,12,0.0,1000.0,0.0,inf,1.0
Poland,info_legal,13,2.0,1000.0,0.0,inf,1.0
Poland,info_legal,14,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,15,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,16,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,17,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,18,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,19,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,20,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,21,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,22,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,23,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,24,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,25,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,26,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,27,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,28,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,29,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,30,3.0,1000.0,0.0,inf,1.0
Poland,info_legal,31,3.0,1000.0,0.0,inf,1.0
Poland,medical,0,0.0,1200.0,0.0,inf,1.0
Poland,medical,1,0.0,1200.0,0.0,inf,1.0
Poland,medical,2,0.0,1200.0,0.0,inf,1.0
Poland,medical,3,0.0,1200.0,0.0,inf,1.0
Poland,medical,4,0.0,1200.0,0.0,inf,1.0
Poland,medical,5,0.0,1200.0,0.0,inf,1.0
Poland,medical,6,0.0,1200.0,0.0,inf,1.0
Poland,medical,7,0.0,1200.0,0.0,inf,1.0
Poland,medical,8,0.0,1200.0,0.0,inf,1.0
Poland,medical,9,0.0,1200.0,0.0,inf,1.0
Poland,medical,10,0.0,1200.0,0.0,inf,1.0
Poland,medical,11,0.0,1200.0,0.0,inf,1.0
Poland,medical,12,0.0,1200.0,0.0,inf,1.0
Poland,medical,13,1.0,1200.0,0.0,inf,1.0
Poland,medical,14,2.0,1200.0,0.0,inf,1.0
Poland,medical,15,2.0,1200.0,0.0,inf,1.0
Poland,medical,16,2.0,1200.0,0.0,inf,1.0
Poland,medical,17,2.0,1200.0,0.0,inf,1.0
Poland,medical,18,2.0,1200.0,0.0,inf,1.0
Poland,medical,19,2.0,1200.0,0.0,inf,1.0
Poland,medical,20,2.0,1200.0,0.0,inf,1.0
Poland,medical,21,2.0,1200.0,0.0,inf,1.0
Poland,medical,22,2.0,1200.0,0.0,inf,1.0
Poland,medical,23,2.0,1200.0,0.0,inf,1.0
Poland,medical,24,2.0,1200.0,0.0,inf,1.0
Poland,medical,25,2.0,1200.0,0.0,inf,1.0
Poland,medical,26,2.0,1200.0,0.0,inf,1.0
Poland,medical,27,2.0,1200.0,0.0,inf,1.0
Poland,medical,28,2.0,1200.0,0.0,inf,1.0
Poland,medical,29,2.0,1200.0,0.0,inf,1.0
Poland,medical,30,2.0,1200.0,0.0,inf,1.0
Poland,medical,31,2.0,1200.0,0.0,inf,1.0
Romania,info_legal,0,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,1,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,2,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,3,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,4,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,5,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,6,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,7,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,8,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,9,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,10,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,11,0.0,1000.0,0.0,inf,1.0
Romania,info_legal,12,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,13,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,14,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,15,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,16,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,17,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,18,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,19,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,20,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,21,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,22,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,23,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,24,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,25,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,26,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,27,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,28,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,29,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,30,1.0,1000.0,0.0,inf,1.0
Romania,info_legal,31,1.0,1000.0,0.0,inf,1.0
Romania,medical,0,0.0,1200.0,0.0,inf,1.0
Romania,medical,1,0.0,1200.0,0.0,inf,1.0
Romania,medical,2,0.0,1200.0,0.0,inf,1.0
Romania,medical,3,0.0,1200.0,0.0,inf,1.0
Romania,medical,4,0.0,1200.0,0.0,inf,1.0
Romania,medical,5,0.0,1200.0,0.0,inf,1.0
Romania,medical,6,0.0,1200.0,0.0,inf,1.0
Romania,medical,7,1.0,1200.0,0.0,inf,1.0
Romania,medical,8,1.0,1200.0,0.0,inf,1.0
Romania,medical,9,1.0,1200.0,0.0,inf,1.0
Romania,medical,10,1.0,1200.0,0.0,inf,1.0
Romania,medical,11,1.0,1200.0,0.0,inf,1.0
Romania,medical,12,1.0,1200.0,0.0,inf,1.0
Romania,medical,13,1.0,1200.0,0.0,inf,1.0
Romania,medical,14,1.0,1200.0,0.0,inf,1.0
Romania,medical,15,1.0,1200.0,0.0,inf,1.0
Romania,medical,16,1.0,1200.0,0.0,inf,1.0
Romania,medical,17,1.0,1200.0,0.0,inf,1.0
Romania,medical,18,1.0,1200.0,0.0,inf,1.0
Romania,medical,19,1.0,1200.0,0.0,inf,1.0
Romania,medical,20,1.0,1200.0,0.0,inf,1.0
Romania,medical,21,1.0,1200.0,0.0,inf,1.0
Romania,medical,22,1.0,1200.0,0.0,inf,1.0
Romania,medical,23,1.0,1200.0,0.0,inf,1.0
Romania,medical,24,1.0,1200.0,0.0,inf,1.0
Romania,medical,25,1.0,1200.0,0.0,inf,1.0
Romania,medical,26,1.0,1200.0,0.0,inf,1.0
Romania,medical,27,1.0,1200.0,0.0,inf,1.0
Romania,medical,28,1.0,1200.0,0.0,inf,1.0
Romania,medical,29,1.0,1200.0,0.0,inf,1.0
Romania,medical,30,1.0,1200.0,0.0,inf,1.0
Romania,medical,31,1.0,1200.0,0.0,inf,1.0
Slovakia,info_legal,0,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,1,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,2,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,3,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,4,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,5,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,6,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,7,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,8,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,9,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,10,0.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,11,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,12,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,13,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,14,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,15,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,16,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,17,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,18,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,19,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,20,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,21,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,22,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,23,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,24,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,25,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,26,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,27,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,28,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,29,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,30,1.0,1000.0,0.0,inf,1.0
Slovakia,info_legal,31,1.0,1000.0,0.0,inf,1.0
Slovakia,medical,0,0.0,1200.0,0.0,inf,1.0
Slovakia,medical,1,0.0,1200.0,0.0,inf,1.0
Slovakia,medical,2,0.0,1200.0,0.0,inf,1.0
Slovakia,medical,3,0.0,1200.0,0.0,inf,1.0
Slovakia,medical,4,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,5,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,6,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,7,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,8,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,9,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,10,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,11,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,12,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,13,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,14,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,15,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,16,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,17,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,18,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,19,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,20,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,21,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,22,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,23,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,24,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,25,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,26,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,27,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,28,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,29,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,30,1.0,1200.0,0.0,inf,1.0
Slovakia,medical,31,1.0,1200.0,0.0,inf,1.0
Switzerland,info_legal,0,0.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,1,0.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,2,0.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,3,0.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,4,0.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,5,0.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,6,5.000000000002252,1000.0,0.0,inf,1.0
Switzerland,info_legal,7,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,8,5.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,9,3.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,10,4.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,11,3.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,12,3.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,13,3.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,14,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,15,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,16,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,17,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,18,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,19,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,20,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,21,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,22,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,23,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,24,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,25,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,26,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,27,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,28,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,29,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,30,6.0,1000.0,0.0,inf,1.0
Switzerland,info_legal,31,6.0,1000.0,0.0,inf,1.0
Switzerland,medical,0,0.0,1200.0,0.0,inf,1.0
Switzerland,medical,1,0.0,1200.0,0.0,inf,1.0
Switzerland,medical,2,0.0,1200.0,0.0,inf,1.0
Switzerland,medical,3,0.0,1200.0,0.0,inf,1.0
Switzerland,medical,4,0.0,1200.0,0.0,inf,1.0
Switzerland,medical,5,0.0,1200.0,0.0,inf,1.0
Switzerland,medical,6,4.0,1200.0,0.0,inf,1.0
Switzerland,medical,7,4.0,1200.0,0.0,inf,1.0
Switzerland,medical,8,4.0,1200.0,0.0,inf,1.0
Switzerland,medical,9,4.0,1200.0,0.0,inf,1.0
Switzerland,medical,10,4.0,1200.0,0.0,inf,1.0
Switzerland,medical,11,4.0,1200.0,0.0,inf,1.0
Switzerland,medical,12,4.0,1200.0,0.0,inf,1.0
Switzerland,medical,13,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,14,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,15,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,16,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,17,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,18,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,19,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,20,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,21,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,22,3.0,1200.0,0.0,inf,1.0
Switzerland,medical,23,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,24,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,25,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,26,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,27,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,28,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,29,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,30,2.0,1200.0,0.0,inf,1.0
Switzerland,medical,31,2.0,1200.0,0.0,inf,1.0
Ukraine,info_legal,0,100.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,1,2.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,2,5.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,3,3.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,4,7.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,5,9.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,6,6.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,7,7.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,8,7.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,9,8.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,10,9.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,11,11.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,12,11.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,13,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,14,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,15,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,16,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,17,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,18,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,19,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,20,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,21,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,22,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,23,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,24,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,25,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,26,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,27,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,28,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,29,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,30,12.0,1000.0,0.0,inf,1.0
Ukraine,info_legal,31,12.0,1000.0,0.0,inf,1.0
Ukraine,medical,0,250.0,1200.0,0.0,inf,1.0
Ukraine,medical,1,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,2,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,3,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,4,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,5,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,6,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,7,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,8,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,9,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,10,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,11,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,12,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,13,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,14,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,15,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,16,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,17,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,18,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,19,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,20,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,21,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,22,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,23,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,24,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,25,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,26,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,27,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,28,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,29,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,30,149.0,1200.0,0.0,inf,1.0
Ukraine,medical,31,149.0,1200.0,0.0,inf,1.0
UnitedState,info_legal,0,0.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,1,5.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,2,5.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,3,9.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,4,3.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,5,3.0000000000022524,1000.0,0.0,inf,1.0
UnitedState,info_legal,6,2.9999999999977476,1000.0,0.0,inf,1.0
UnitedState,info_legal,7,3.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,8,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,9,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,10,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,11,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,12,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,13,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,14,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,15,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,16,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,17,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,18,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,19,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,20,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,21,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,22,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,23,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,24,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,25,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,26,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,27,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,28,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,29,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,30,2.0,1000.0,0.0,inf,1.0
UnitedState,info_legal,31,2.0,1000.0,0.0,inf,1.0
UnitedState,medical,0,0.0,1200.0,0.0,inf,1.0
UnitedState,medical,1,6.0,1200.0,0.0,inf,1.0
UnitedState,medical,2,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,3,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,4,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,5,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,6,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,7,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,8,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,9,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,10,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,11,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,12,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,13,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,14,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,15,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,16,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,17,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,18,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,19,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,20,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,21,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,22,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,23,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,24,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,25,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,26,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,27,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,28,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,29,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,30,14.0,1200.0,0.0,inf,1.0
UnitedState,medical,31,14.0,1200.0,0.0,inf,1.0
